run_id,strategy_id,scenario,seed,steps,status,reason,error_type,error_message,final_equity,pnl,dd_pct,trades,fees,skipped_sell_no_base,skipped_buy_no_quote,start_ts,end_ts,report_path
classic_grid_range_seed1,classic_grid,range,1,1000,RUNNING,,,,1002.0745081060766,0.8079679154460564,0.19630213140329278,1,0.0879772697916911,0,0,2025-12-19T11:45:04.410605,2025-12-19T11:45:09.472237,out_runs\reports\classic_grid_range_seed1.json
classic_grid_range_seed2,classic_grid,range,2,1000,RUNNING,,,,1002.1821302062074,0.166226950244436,0.183629306105156,1,0.0879772697916911,0,0,2025-12-19T11:45:09.484012,2025-12-19T11:45:15.917523,out_runs\reports\classic_grid_range_seed2.json
classic_grid_range_seed3,classic_grid,range,3,1000,RUNNING,,,,1001.749472869597,0.38844912968920653,0.2274573331576445,1,0.0879772697916911,0,0,2025-12-19T11:45:15.925930,2025-12-19T11:45:21.165428,out_runs\reports\classic_grid_range_seed3.json
classic_grid_range_seed4,classic_grid,range,4,1000,RUNNING,,,,1001.3082374314833,-0.05103842635719502,0.19244898660757467,1,0.0879772697916911,0,0,2025-12-19T11:45:21.175091,2025-12-19T11:45:25.980380,out_runs\reports\classic_grid_range_seed4.json
classic_grid_range_seed5,classic_grid,range,5,1000,RUNNING,,,,1001.9612547925674,0.24916844682798,0.20550844937142387,1,0.0879772697916911,0,0,2025-12-19T11:45:25.990137,2025-12-19T11:45:32.021506,out_runs\reports\classic_grid_range_seed5.json
classic_grid_trend_up_seed1,classic_grid,trend_up,1,1000,RUNNING,,,,1001.0777260497694,1.9661384306252785,0.53136780341903,15,1.3212734779091049,0,0,2025-12-19T11:45:32.042512,2025-12-19T11:45:37.725372,out_runs\reports\classic_grid_trend_up_seed1.json
classic_grid_trend_up_seed2,classic_grid,trend_up,2,1000,RUNNING,,,,1001.4045071285892,1.8245675936124144,0.5240273122297493,15,1.3216725356710752,0,0,2025-12-19T11:45:37.748377,2025-12-19T11:45:45.624439,out_runs\reports\classic_grid_trend_up_seed2.json
classic_grid_trend_up_seed3,classic_grid,trend_up,3,1000,RUNNING,,,,1001.0980813071183,1.9274414696758413,0.5486418814770451,17,1.4968289597305169,0,0,2025-12-19T11:45:45.632657,2025-12-19T11:45:52.084637,out_runs\reports\classic_grid_trend_up_seed3.json
classic_grid_trend_up_seed4,classic_grid,trend_up,4,1000,RUNNING,,,,1000.385355261403,1.215807850252645,0.41694237029950393,13,1.145717996087693,0,0,2025-12-19T11:45:52.094987,2025-12-19T11:45:57.167280,out_runs\reports\classic_grid_trend_up_seed4.json
classic_grid_trend_up_seed5,classic_grid,trend_up,5,1000,RUNNING,,,,1001.3076680946238,1.9176141285365702,0.5298607248729506,15,1.3216725356710752,0,0,2025-12-19T11:45:57.176775,2025-12-19T11:46:02.552524,out_runs\reports\classic_grid_trend_up_seed5.json
classic_grid_trend_down_seed1,classic_grid,trend_down,1,1000,RUNNING,,,,1005.3671794824131,1.695591863269101,0.09569013067588669,13,1.1417182936939314,0,0,2025-12-19T11:46:02.562023,2025-12-19T11:46:07.827656,out_runs\reports\classic_grid_trend_down_seed1.json
classic_grid_trend_down_seed2,classic_grid,trend_down,2,1000,RUNNING,,,,1005.4344432949949,1.294503760018074,0.16807358683999413,13,1.1417182936939316,0,0,2025-12-19T11:46:07.836959,2025-12-19T11:46:17.021145,out_runs\reports\classic_grid_trend_down_seed2.json
classic_grid_trend_down_seed3,classic_grid,trend_down,3,1000,RUNNING,,,,1005.1640324596135,1.4333926221711408,0.12585050376229584,13,1.1417182936939314,0,0,2025-12-19T11:46:17.066161,2025-12-19T11:46:29.170031,out_runs\reports\classic_grid_trend_down_seed3.json
classic_grid_trend_down_seed4,classic_grid,trend_down,4,1000,RUNNING,,,,1005.4943177889558,1.7647703778053483,0.1466193811362188,15,1.3176728332773133,0,0,2025-12-19T11:46:29.179668,2025-12-19T11:46:41.207055,out_runs\reports\classic_grid_trend_down_seed4.json
classic_grid_trend_down_seed5,classic_grid,trend_down,5,1000,RUNNING,,,,1005.2963961614698,1.3463421953827037,0.14974346975988742,13,1.1417182936939316,0,0,2025-12-19T11:46:41.219471,2025-12-19T11:46:53.233477,out_runs\reports\classic_grid_trend_down_seed5.json
classic_grid_flash_crash_seed1,classic_grid,flash_crash,1,99,STOPPED,stop_loss,,,909.9344673990754,-91.49880269623986,9.169934404405046,1,0.0879772697916911,0,0,2025-12-19T11:46:53.242479,2025-12-19T11:46:54.471136,out_runs\reports\classic_grid_flash_crash_seed1.json
classic_grid_flash_crash_seed2,classic_grid,flash_crash,2,99,STOPPED,stop_loss,,,911.1601842021882,-90.64776742579329,9.04841764117431,1,0.0879772697916911,0,0,2025-12-19T11:46:54.482248,2025-12-19T11:46:55.614880,out_runs\reports\classic_grid_flash_crash_seed2.json
classic_grid_flash_crash_seed3,classic_grid,flash_crash,3,98,STOPPED,max_drawdown,,,1001.5455120582587,0.06500018830479348,0.025598041012423724,1,0.0879772697916911,0,0,2025-12-19T11:46:55.626932,2025-12-19T11:46:56.844591,out_runs\reports\classic_grid_flash_crash_seed3.json
classic_grid_flash_crash_seed4,classic_grid,flash_crash,4,99,STOPPED,stop_loss,,,927.3274513281376,-74.15218660078267,7.422439796499765,1,0.0879772697916911,0,0,2025-12-19T11:46:56.853950,2025-12-19T11:46:58.294013,out_runs\reports\classic_grid_flash_crash_seed4.json
classic_grid_flash_crash_seed5,classic_grid,flash_crash,5,98,STOPPED,max_drawdown,,,1001.2927768981792,-0.3632662746904316,0.050806502134708297,1,0.0879772697916911,0,0,2025-12-19T11:46:58.303015,2025-12-19T11:46:59.429293,out_runs\reports\classic_grid_flash_crash_seed5.json
